[Name]
User Points

[Data]
"Time [s]","Monitor Point: Fxx [N]","Monitor Point: Fyy [N]"
1.35403466e+00,6.41937402e+03,2.15054688e+02
1.35809004e+00,6.42399902e+03,-1.47830078e+02
1.36214459e+00,6.42594238e+03,-2.63144531e+02
1.36619842e+00,6.42865234e+03,-3.73431641e+02
1.37025154e+00,6.43208594e+03,-5.30630859e+02
1.37430394e+00,6.43585254e+03,-6.82849609e+02
1.37835574e+00,6.43941406e+03,-8.42908203e+02
1.38240671e+00,6.44372363e+03,-1.01154883e+03
1.38645709e+00,6.44971387e+03,-1.18396289e+03
1.39050663e+00,6.45759521e+03,-1.35453906e+03
1.39455557e+00,6.46702051e+03,-1.51883789e+03
1.39860380e+00,6.47734033e+03,-1.67471875e+03
1.40265131e+00,6.48802930e+03,-1.82125977e+03
1.40669799e+00,6.49859424e+03,-1.95877148e+03
1.41074407e+00,6.50886182e+03,-2.08786328e+03
1.41478932e+00,6.51885986e+03,-2.20886133e+03
1.41883385e+00,6.52878760e+03,-2.32173828e+03
1.42287767e+00,6.53881055e+03,-2.42640820e+03
1.42692077e+00,6.54897656e+03,-2.52216797e+03
1.43096304e+00,6.55919727e+03,-2.60836133e+03
1.43500447e+00,6.56943652e+03,-2.68462891e+03
1.43904519e+00,6.57934375e+03,-2.75063477e+03
1.44308519e+00,6.58867529e+03,-2.80611914e+03
1.44712436e+00,6.59744385e+03,-2.85085156e+03
1.45116270e+00,6.60567383e+03,-2.88466211e+03
1.45520020e+00,6.61329248e+03,-2.90732813e+03
1.45923686e+00,6.61924023e+03,-2.91668750e+03
1.46327281e+00,6.62609229e+03,-2.92010352e+03
1.46730793e+00,6.63073145e+03,-2.91343750e+03
1.47134244e+00,6.63609131e+03,-2.89005859e+03
1.47537601e+00,6.63924561e+03,-2.86394922e+03
1.47940886e+00,6.64249854e+03,-2.81141211e+03
1.48344100e+00,6.64351855e+03,-2.76630273e+03
1.48747230e+00,6.64408301e+03,-2.70621875e+03
1.49150288e+00,6.64422070e+03,-2.63191602e+03
1.49553287e+00,6.64390625e+03,-2.54469336e+03
1.49956214e+00,6.64279492e+03,-2.44594336e+03
1.50359070e+00,6.64074609e+03,-2.33697266e+03
1.50761867e+00,6.63785205e+03,-2.21890625e+03
1.51164615e+00,6.63416211e+03,-2.09266406e+03
1.51567292e+00,6.62983936e+03,-1.95891406e+03
1.51969910e+00,6.62499902e+03,-1.81790820e+03
1.52372479e+00,6.61968799e+03,-1.66980859e+03
1.52775002e+00,6.61428467e+03,-1.51477930e+03
1.53177464e+00,6.60902051e+03,-1.35300977e+03
1.53579879e+00,6.60402490e+03,-1.18489063e+03
1.53982246e+00,6.59938379e+03,-1.01107617e+03
1.54384577e+00,6.59521826e+03,-8.32347656e+02
1.54786861e+00,6.59146875e+03,-6.49460938e+02
1.55189145e+00,6.58818555e+03,-4.63285156e+02
1.55591357e+00,6.58551855e+03,-2.74662109e+02
1.55993569e+00,6.58351367e+03,-8.41816406e+01
1.56395698e+00,6.58209570e+03,1.07375000e+02
1.56797838e+00,6.58154590e+03,2.99265625e+02
1.57199907e+00,6.58201465e+03,4.90646484e+02
1.57601976e+00,6.58319189e+03,7.40250000e+02
1.58003986e+00,6.58389160e+03,8.87972656e+02
1.58405995e+00,6.58773340e+03,1.04433398e+03
1.58807933e+00,6.59523145e+03,1.26355469e+03
1.59209871e+00,6.60033105e+03,1.40388086e+03
1.59611750e+00,6.60996631e+03,1.60592773e+03
1.60013616e+00,6.61653809e+03,1.73771875e+03
1.60415423e+00,6.62779102e+03,1.92805859e+03
1.60817170e+00,6.63515430e+03,2.05173242e+03
1.61218929e+00,6.64692529e+03,2.22775000e+03
1.61620605e+00,6.65482178e+03,2.34005273e+03
1.62022245e+00,6.66531641e+03,2.45996289e+03
1.62423885e+00,6.68075391e+03,2.61977344e+03
1.62825441e+00,6.68945605e+03,2.71366211e+03
1.63226950e+00,6.69940527e+03,2.80609375e+03
1.63628411e+00,6.71015869e+03,2.89457031e+03
1.64029837e+00,6.72145996e+03,2.97634375e+03
1.64431202e+00,6.73263867e+03,3.04841992e+03
1.64832532e+00,6.74334375e+03,3.10814453e+03
1.65233815e+00,6.75312500e+03,3.15380078e+03
1.65635049e+00,6.76162402e+03,3.18474023e+03
1.66036224e+00,6.77438867e+03,3.20470117e+03
1.66437364e+00,6.78119824e+03,3.20357227e+03
1.66838455e+00,6.78353613e+03,3.18701563e+03
1.67239499e+00,6.78319385e+03,3.15935742e+03
1.67640483e+00,6.78150391e+03,3.12334961e+03
1.68041408e+00,6.77971191e+03,3.07942773e+03
1.68442285e+00,6.77892773e+03,3.02628711e+03
1.68843126e+00,6.77938867e+03,2.96168750e+03
1.69243908e+00,6.78023438e+03,2.88391797e+03
1.69644654e+00,6.78043213e+03,2.79238281e+03
1.70045364e+00,6.77892285e+03,2.68739258e+03
1.70446026e+00,6.77519727e+03,2.57011719e+03
1.70846689e+00,6.76972754e+03,2.44179492e+03
